,T,c_p,c_t,clsd,h_p,i,l_p,n_t,o_p,o_t,qa_v,ta_v,tq_v,v
0,1530845071000,0.00007000,1513576799999,1,0.00024000,17804646.86509931,0.00005500,6655,0.00010000,1513573200000,635.47737501,3424284.93000000,296.41080619,7617966.09000000
1,1530845071000,0.00008100,1513580399999,1,0.00008650,27074021.71370344,0.00005850,6043,0.00007000,1513576800000,525.38626715,3188871.32000000,230.38424769,7413200.60000000
2,1530845071000,0.00008360,1513583999999,1,0.00009530,34008785.21879646,0.00007600,6855,0.00008070,1513580400000,707.56323314,3816845.71000000,330.79304603,8162875.74000000
3,1530845071000,0.00009510,1513587599999,1,0.00009900,37528102.93497593,0.00008280,5296,0.00008330,1513584000000,421.44284810,2455600.46000000,219.47746686,4742127.04000000
4,1530845071000,0.00011010,1513591199999,1,0.00011690,40590790.82213109,0.00009510,8847,0.00009510,1513587600000,822.88748808,3709727.39000000,399.30159620,7622561.61000000
5,1530845071000,0.00012350,1513594799999,1,0.00012460,44267800.29154718,0.00010890,5132,0.00011000,1513591200000,404.64223797,1521298.85000000,181.86945544,3383703.18000000
6,1530845071000,0.00011500,1513598399999,1,0.00014500,48667953.76760757,0.00010700,10020,0.00012350,1513594800000,1037.40084511,3817203.15000000,499.31711800,7996858.13000000
7,1530845071000,0.00009710,1513600155500,1,0.00012600,49515445.88467787,0.00009550,3749,0.00011490,1513598400000,349.08617957,1253745.24000000,142.47426691,3127387.79000000
8,1530845071000,0.00010840,1513605599999,1,0.00011970,0,0.00009330,3169,0.00009820,1513602000000,257.31355651,1191381.92000000,131.27317785,2345260.29000000
9,1530845071000,0.00009520,1513609199999,1,0.00010960,0,0.00009090,3795,0.00010840,1513605600000,252.00770137,986097.60000000,98.09604336,2535878.77000000
10,1530845071000,0.00010990,1513612799999,1,0.00011270,0,0.00009110,4000,0.00009520,1513609200000,305.98376690,1514257.17000000,157.69472172,2953833.45000000
11,1530845071000,0.00010880,1513616399999,1,0.00011270,0,0.00010350,2356,0.00011000,1513612800000,164.01207992,681211.23000000,74.51042408,1501704.17000000
12,1530845071000,0.00011500,1513619999999,1,0.00011870,0,0.00010680,2447,0.00010880,1513616400000,180.34892838,907690.25000000,101.72433123,1612023.50000000
13,1530845071000,0.00011150,1513623599999,1,0.00012340,0,0.00011070,3727,0.00011510,1513620000000,335.21636977,1330245.36000000,158.74031237,2815385.24000000
14,1530845071000,0.00011260,1513627199999,1,0.00011630,0,0.00010800,2803,0.00011190,1513623600000,186.37818053,732495.40000000,82.28071486,1666426.91000000
15,1530845071000,0.00010640,1513630799999,1,0.00011490,0,0.00010010,3399,0.00011250,1513627200000,202.51624079,788016.54000000,84.80910008,1884590.29000000
16,1530845071000,0.00011710,1513634399999,1,0.00011870,0,0.00010610,3159,0.00010640,1513630800000,181.48607829,842170.26000000,95.39752219,1599118.37000000
17,1530845071000,0.00012100,1513637999999,1,0.00012130,0,0.00011510,2294,0.00011730,1513634400000,139.16883176,680766.74000000,80.63220086,1178669.55000000
18,1530845071000,0.00011930,1513641599999,1,0.00012160,0,0.00011600,2228,0.00012070,1513638000000,109.88547174,363757.86000000,43.62677325,917894.12000000
19,1530845071000,0.00012120,1513645199999,1,0.00012460,0,0.00011790,2546,0.00011930,1513641600000,147.88483174,633995.73000000,77.25965506,1215820.27000000
20,1530845071000,0.00011610,1513648799999,1,0.00012250,0,0.00011540,1758,0.00012100,1513645200000,94.29510555,350936.30000000,41.84446009,793078.16000000
21,1530845071000,0.00012140,1513652399999,1,0.00012350,0,0.00011410,2009,0.00011610,1513648800000,124.76454944,521334.32000000,62.68503367,1043906.10000000
22,1530845071000,0.00012200,1513655999999,1,0.00012200,0,0.00011810,1519,0.00012140,1513652400000,69.62154024,212718.04000000,25.57046649,580152.90000000
23,1530845071000,0.00012970,1513659599999,1,0.00012970,0,0.00012120,2576,0.00012180,1513656000000,200.57166141,992344.70000000,125.06260369,1595691.40000000
24,1530845071000,0.00013130,1513663199999,1,0.00013820,0,0.00012800,5314,0.00012980,1513659600000,396.06123525,1492150.70000000,199.21583586,2970368.96000000
25,1530845071000,0.00013580,1513666799999,1,0.00013860,0,0.00012930,3372,0.00013180,1513663200000,199.62060771,781120.41000000,104.69382885,1492332.77000000
26,1530845071000,0.00013160,1513670399999,1,0.00013610,0,0.00012630,2871,0.00013580,1513666800000,202.02933833,535073.64000000,69.80049667,1548707.47000000
27,1530845071000,0.00013080,1513673999999,1,0.00013200,0,0.00012740,1736,0.00013160,1513670400000,106.42941825,410877.26000000,53.51645645,818978.50000000
28,1530845071000,0.00012630,1513677599999,1,0.00013080,0,0.00012600,1626,0.00013080,1513674000000,102.29414878,211523.79000000,27.34600699,794855.75000000
29,1530845071000,0.00011950,1513681199999,1,0.00012700,0,0.00011060,3176,0.00012650,1513677600000,221.56598002,508296.43000000,60.09901987,1853104.95000000
30,1530845071000,0.00011810,1513684799999,1,0.00012570,0,0.00011530,1778,0.00011960,1513681200000,115.49890503,472575.80000000,57.17864533,960341.23000000
31,1530845071000,0.00012880,1513688399999,1,0.00013000,0,0.00011600,1566,0.00011810,1513684800000,93.20453333,431395.12000000,54.00142074,747969.05000000
32,1530845071000,0.00012360,1513691999999,1,0.00012900,0,0.00012290,1352,0.00012880,1513688400000,44.62633496,177302.59000000,22.34585259,354517.45000000
33,1530845071000,0.00011940,1513695599999,1,0.00012600,0,0.00011940,1579,0.00012360,1513692000000,85.91168316,262349.11000000,32.14525661,703066.67000000
34,1530845071000,0.00012190,1513699199999,1,0.00012500,0,0.00011600,1508,0.00012060,1513695600000,78.05186956,313519.52000000,37.48599385,654307.68000000
35,1530845071000,0.00012070,1513702799999,1,0.00012240,0,0.00012000,966,0.00012190,1513699200000,37.87561168,165823.25000000,20.04110769,313576.50000000
36,1530845071000,0.00012220,1513706399999,1,0.00012380,0,0.00012000,1333,0.00012070,1513702800000,60.15697599,280292.91000000,34.27804573,492253.28000000
37,1530845071000,0.00012120,1513709999999,1,0.00012290,0,0.00011990,1109,0.00012210,1513706400000,48.85253845,198092.08000000,24.02812254,403242.92000000
38,1530845071000,0.00012040,1513713599999,1,0.00012150,0,0.00011520,1411,0.00012120,1513710000000,77.97402886,387259.44000000,46.02900213,656339.20000000
39,1530845071000,0.00012480,1513717199999,1,0.00012490,0,0.00011910,1249,0.00012050,1513713600000,60.37612375,322423.85000000,39.24996988,496799.19000000
40,1530845071000,0.00011670,1513720799999,1,0.00012500,0,0.00011610,1648,0.00012490,1513717200000,91.98651045,370252.88000000,44.43371993,767925.44000000
41,1530845071000,0.00012060,1513724399999,1,0.00012200,0,0.00011610,1260,0.00011670,1513720800000,75.08029604,280146.10000000,33.51585836,628613.58000000
42,1530845071000,0.00012550,1513727999999,1,0.00012550,0,0.00012010,1098,0.00012100,1513724400000,56.06320404,266055.58000000,32.74226186,457022.92000000
43,1530845071000,0.00011440,1513731599999,1,0.00012560,0,0.00010160,2468,0.00012550,1513728000000,230.18362479,684199.31000000,76.98021256,2018864.05000000
44,1530845071000,0.00010640,1513735199999,1,0.00011900,0,0.00010310,1396,0.00011460,1513731600000,100.52039308,341339.99000000,37.92346926,908928.16000000
