LR: 0.1, DF: 0, DRT: 0.001
findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0 to DejaVu Sans ('/usr/local/lib/python3.5/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf') with score of 0.050000
findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=12.0 to DejaVu Sans ('/usr/local/lib/python3.5/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf') with score of 0.050000
[Epoch 001/100]	Epsilon:0.5000	#Expl.:2163/4299	#Buy:1164	#Sell:2268	#Hold:867	#Stocks:  0.218793	PV:   3958.20	POS:746	NEG:2613	Loss:  0.073572
[Epoch 002/100]	Epsilon:0.4949	#Expl.:2082/4299	#Buy:1293	#Sell:1704	#Hold:1302	#Stocks:  0.534682	PV:   3417.37	POS:1026	NEG:1999	Loss:  0.075217
[Epoch 003/100]	Epsilon:0.4899	#Expl.:2108/4299	#Buy:2290	#Sell:1279	#Hold:730	#Stocks:  0.237052	PV:   2589.28	POS:1366	NEG:1337	Loss:  0.077853
[Epoch 004/100]	Epsilon:0.4848	#Expl.:2034/4299	#Buy:1189	#Sell:1771	#Hold:1339	#Stocks:  0.426366	PV:   2734.11	POS:957	NEG:2156	Loss:  0.073622
[Epoch 005/100]	Epsilon:0.4798	#Expl.:2046/4299	#Buy:1344	#Sell:1296	#Hold:1659	#Stocks:  0.172967	PV:   2767.91	POS:1180	NEG:1705	Loss:  0.081671
[Epoch 006/100]	Epsilon:0.4747	#Expl.:2026/4299	#Buy:1603	#Sell:1453	#Hold:1243	#Stocks:  0.546923	PV:   3638.75	POS:1177	NEG:1764	Loss:  0.079809
[Epoch 007/100]	Epsilon:0.4697	#Expl.:2089/4299	#Buy:1283	#Sell:1570	#Hold:1446	#Stocks:  0.464683	PV:   5425.69	POS:1043	NEG:2011	Loss:  0.078270
[Epoch 008/100]	Epsilon:0.4646	#Expl.:1940/4299	#Buy:2068	#Sell:917	#Hold:1314	#Stocks:  0.315120	PV:   3744.29	POS:1509	NEG:1147	Loss:  0.081733
[Epoch 009/100]	Epsilon:0.4596	#Expl.:1988/4299	#Buy:1449	#Sell:1507	#Hold:1343	#Stocks:  0.541486	PV:   3514.65	POS:1138	NEG:1823	Loss:  0.076610
[Epoch 010/100]	Epsilon:0.4545	#Expl.:1937/4299	#Buy:1111	#Sell:1683	#Hold:1505	#Stocks:  0.097439	PV:   3822.22	POS:975	NEG:2199	Loss:  0.074548
[Epoch 011/100]	Epsilon:0.4495	#Expl.:1842/4299	#Buy:2198	#Sell:1075	#Hold:1026	#Stocks:  0.363226	PV:   2539.53	POS:1413	NEG:1324	Loss:  0.081525
[Epoch 012/100]	Epsilon:0.4444	#Expl.:1979/4299	#Buy:1172	#Sell:1814	#Hold:1313	#Stocks:  0.000000	PV:   3135.88	POS:961	NEG:2167	Loss:  0.065604
[Epoch 013/100]	Epsilon:0.4394	#Expl.:1864/4299	#Buy:1847	#Sell:994	#Hold:1458	#Stocks:  0.184703	PV:   2806.80	POS:1348	NEG:1436	Loss:  0.077496
[Epoch 014/100]	Epsilon:0.4343	#Expl.:1884/4299	#Buy:1565	#Sell:1856	#Hold:878	#Stocks:  0.093757	PV:   4626.21	POS:966	NEG:2166	Loss:  0.072729
[Epoch 015/100]	Epsilon:0.4293	#Expl.:1808/4299	#Buy:1397	#Sell:1762	#Hold:1140	#Stocks:  0.000193	PV:   5369.92	POS:1015	NEG:2105	Loss:  0.070584
[Epoch 016/100]	Epsilon:0.4242	#Expl.:1892/4299	#Buy:644	#Sell:2355	#Hold:1300	#Stocks:  0.258566	PV:   3421.32	POS:591	NEG:2920	Loss:  0.059513
[Epoch 017/100]	Epsilon:0.4192	#Expl.:1763/4299	#Buy:1384	#Sell:2100	#Hold:815	#Stocks:  0.002637	PV:   3861.27	POS:883	NEG:2337	Loss:  0.059069
[Epoch 018/100]	Epsilon:0.4141	#Expl.:1767/4299	#Buy:653	#Sell:2879	#Hold:767	#Stocks:  0.030923	PV:   5094.70	POS:425	NEG:3236	Loss:  0.055415
[Epoch 019/100]	Epsilon:0.4091	#Expl.:1730/4299	#Buy:1039	#Sell:1973	#Hold:1287	#Stocks:  0.117619	PV:   3402.81	POS:841	NEG:2392	Loss:  0.067289
[Epoch 020/100]	Epsilon:0.4040	#Expl.:1773/4299	#Buy:1493	#Sell:1032	#Hold:1774	#Stocks:  0.200537	PV:   2678.34	POS:1321	NEG:1496	Loss:  0.079722
[Epoch 021/100]	Epsilon:0.3990	#Expl.:1719/4299	#Buy:1575	#Sell:1322	#Hold:1402	#Stocks:  0.382961	PV:   4175.23	POS:1254	NEG:1618	Loss:  0.074917
[Epoch 022/100]	Epsilon:0.3939	#Expl.:1757/4299	#Buy:1528	#Sell:1660	#Hold:1111	#Stocks:  0.419079	PV:   2677.97	POS:1017	NEG:2043	Loss:  0.071754
[Epoch 023/100]	Epsilon:0.3889	#Expl.:1626/4299	#Buy:1924	#Sell:1058	#Hold:1317	#Stocks:  0.029079	PV:   3866.93	POS:1397	NEG:1378	Loss:  0.076349
[Epoch 024/100]	Epsilon:0.3838	#Expl.:1616/4299	#Buy:2223	#Sell:1168	#Hold:908	#Stocks:  0.717453	PV:   4584.90	POS:1347	NEG:1459	Loss:  0.074543
[Epoch 025/100]	Epsilon:0.3788	#Expl.:1631/4299	#Buy:2147	#Sell:952	#Hold:1200	#Stocks:  0.536214	PV:   3426.44	POS:1436	NEG:1271	Loss:  0.075104
[Epoch 026/100]	Epsilon:0.3737	#Expl.:1561/4299	#Buy:2440	#Sell:866	#Hold:993	#Stocks:  0.001655	PV:   3378.26	POS:1490	NEG:1192	Loss:  0.068808
[Epoch 027/100]	Epsilon:0.3687	#Expl.:1578/4299	#Buy:1369	#Sell:1828	#Hold:1102	#Stocks:  0.004018	PV:   4534.71	POS:945	NEG:2266	Loss:  0.067276
[Epoch 028/100]	Epsilon:0.3636	#Expl.:1540/4299	#Buy:1523	#Sell:1675	#Hold:1101	#Stocks:  0.000000	PV:   7044.14	POS:1081	NEG:2000	Loss:  0.066889
[Epoch 029/100]	Epsilon:0.3586	#Expl.:1529/4299	#Buy:1807	#Sell:1565	#Hold:927	#Stocks:  0.477925	PV:   3053.98	POS:1102	NEG:1945	Loss:  0.073387
