LR: 0.1, DF: 0, DRT: 0.2
findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0 to DejaVu Sans ('/usr/local/lib/python3.5/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf') with score of 0.050000
findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=12.0 to DejaVu Sans ('/usr/local/lib/python3.5/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf') with score of 0.050000
[Epoch 001/300]	Epsilon:0.5000	#Expl.:517/1000	#Buy:263	#Sell:565	#Hold:172	#Stocks:  0.926226	PV:￦7,827	POS:1	NEG:15	Loss:  0.184120
[Epoch 002/300]	Epsilon:0.4983	#Expl.:469/1000	#Buy:457	#Sell:405	#Hold:138	#Stocks:  0.936550	PV:￦7,400	POS:2	NEG:14	Loss:  0.155527
[Epoch 003/300]	Epsilon:0.4967	#Expl.:499/1000	#Buy:690	#Sell:165	#Hold:145	#Stocks:  1.054084	PV:￦6,848	POS:5	NEG:11	Loss:  0.160327
[Epoch 004/300]	Epsilon:0.4950	#Expl.:474/1000	#Buy:671	#Sell:170	#Hold:159	#Stocks:  0.031293	PV:￦6,502	POS:7	NEG:9	Loss:  0.159181
[Epoch 005/300]	Epsilon:0.4933	#Expl.:504/1000	#Buy:622	#Sell:215	#Hold:163	#Stocks:  0.045800	PV:￦6,142	POS:5	NEG:11	Loss:  0.147091
[Epoch 006/300]	Epsilon:0.4916	#Expl.:488/1000	#Buy:562	#Sell:279	#Hold:159	#Stocks:  0.082980	PV:￦6,271	POS:4	NEG:12	Loss:  0.140491
[Epoch 007/300]	Epsilon:0.4900	#Expl.:479/1000	#Buy:231	#Sell:627	#Hold:142	#Stocks:  0.137423	PV:￦8,992	POS:3	NEG:13	Loss:  0.128334
[Epoch 008/300]	Epsilon:0.4883	#Expl.:468/1000	#Buy:656	#Sell:216	#Hold:128	#Stocks:  0.000925	PV:￦7,282	POS:6	NEG:10	Loss:  0.146855
[Epoch 009/300]	Epsilon:0.4866	#Expl.:496/1000	#Buy:516	#Sell:326	#Hold:158	#Stocks:  0.369826	PV:￦8,772	POS:4	NEG:12	Loss:  0.130322
[Epoch 010/300]	Epsilon:0.4849	#Expl.:482/1000	#Buy:683	#Sell:198	#Hold:119	#Stocks:  1.098539	PV:￦7,186	POS:5	NEG:11	Loss:  0.134220
[Epoch 011/300]	Epsilon:0.4833	#Expl.:496/1000	#Buy:655	#Sell:204	#Hold:141	#Stocks:  0.625243	PV:￦7,268	POS:6	NEG:10	Loss:  0.142697
[Epoch 012/300]	Epsilon:0.4816	#Expl.:474/1000	#Buy:687	#Sell:175	#Hold:138	#Stocks:  1.112935	PV:￦7,103	POS:5	NEG:11	Loss:  0.134122
[Epoch 013/300]	Epsilon:0.4799	#Expl.:488/1000	#Buy:700	#Sell:158	#Hold:142	#Stocks:  1.008403	PV:￦6,689	POS:6	NEG:10	Loss:  0.133565
[Epoch 014/300]	Epsilon:0.4783	#Expl.:469/1000	#Buy:694	#Sell:173	#Hold:133	#Stocks:  1.028423	PV:￦6,675	POS:5	NEG:11	Loss:  0.131240
[Epoch 015/300]	Epsilon:0.4766	#Expl.:486/1000	#Buy:679	#Sell:181	#Hold:140	#Stocks:  1.000543	PV:￦6,775	POS:6	NEG:10	Loss:  0.136644
[Epoch 016/300]	Epsilon:0.4749	#Expl.:469/1000	#Buy:473	#Sell:379	#Hold:148	#Stocks:  0.937470	PV:￦8,314	POS:5	NEG:11	Loss:  0.133372
